pdb,execution_time
pdb7zb1_A_hinge_5_sigma0.8948929172439201.pdb,2.627598
pdb7zb1_A_hinge_3_sigma0.8948929172439201.pdb,2.374443
pdb5i7n_A_hinge_3_sigma0.8948929172439201.pdb,0.447698
pdb5i7n_A_hinge_1_sigma0.8948929172439201.pdb,0.434341
pdb5i7n_A_hinge_0_sigma0.8948929172439201.pdb,0.449245
pdb5i7n_A_hinge_5_sigma0.8948929172439201.pdb,0.449294
pdb5i7n_A_hinge_4_sigma0.8948929172439201.pdb,0.435735
pdb5i7n_A_hinge_2_sigma0.8948929172439201.pdb,0.495371
pdb6y1k_H_hinge_0_sigma0.8948929172439201.pdb,0.321904
pdb6y1k_H_hinge_3_sigma0.8948929172439201.pdb,0.317841
pdb6y1k_H_hinge_2_sigma0.8948929172439201.pdb,0.298633
pdb6y1k_H_hinge_1_sigma0.8948929172439201.pdb,0.311815
pdb6y1k_H_hinge_4_sigma0.8948929172439201.pdb,0.285865
pdb6y1k_H_hinge_5_sigma0.8948929172439201.pdb,0.267133
pdb3zkm_A_hinge_3_sigma0.8948929172439201.pdb,0.743897
pdb3zkm_A_hinge_4_sigma0.8948929172439201.pdb,0.799528
pdb3zkm_A_hinge_1_sigma0.8948929172439201.pdb,0.757833
pdb3zkm_A_hinge_0_sigma0.8948929172439201.pdb,0.737969
pdb3zkm_A_hinge_5_sigma0.8948929172439201.pdb,0.740421
pdb3zkm_A_hinge_2_sigma0.8948929172439201.pdb,0.711702
pdb5f60_A_hinge_0_sigma0.8948929172439201.pdb,0.135925
pdb5f60_A_hinge_1_sigma0.8948929172439201.pdb,0.114862
pdb5f60_A_hinge_4_sigma0.8948929172439201.pdb,0.100735
pdb5f60_A_hinge_3_sigma0.8948929172439201.pdb,0.113651
pdb5f60_A_hinge_2_sigma0.8948929172439201.pdb,0.166392
pdb5f60_A_hinge_5_sigma0.8948929172439201.pdb,0.144488
pdb8szs_A_hinge_2_sigma0.8948929172439201.pdb,4.506306
pdb8szs_A_hinge_5_sigma0.8948929172439201.pdb,4.267799
pdb8szs_A_hinge_3_sigma0.8948929172439201.pdb,4.260425
pdb8szs_A_hinge_1_sigma0.8948929172439201.pdb,4.421488
pdb8szs_A_hinge_4_sigma0.8948929172439201.pdb,4.54667
