pdb_pair,execution_time
pdb6fcb_A_original_pdb6fcb_A_hinge_3_sigma0.8948929172439201.command,0.00843700022
pdb3lxl_A_original_pdb3lxl_A_hinge_1_sigma0.8948929172439201.command,0.0105819982
pdb2hpg_A_original_pdb2hpg_A_hinge_5_sigma0.8948929172439201.command,0.00710999966
pdb5ivf_A_original_pdb5ivf_A_hinge_2_sigma0.8948929172439201.command,0.0118459985
pdb2pgn_A_original_pdb2pgn_A_hinge_2_sigma0.8948929172439201.command,0.0261449963
pdb5pgf_A_original_pdb5pgf_A_hinge_1_sigma0.8948929172439201.command,0.00480700005
pdb2y6m_A_original_pdb2y6m_A_hinge_0_sigma0.8948929172439201.command,0.1806626319885254
pdb5yjk_A_original_pdb5yjk_A_hinge_5_sigma0.8948929172439201.command,0.1350698471069336
pdb5jve_A_original_pdb5jve_A_hinge_3_sigma0.8948929172439201.command,0.00494300015
pdb5ou8_A_original_pdb5ou8_A_hinge_5_sigma0.8948929172439201.command,0.00737000071
pdb8pbh_A_original_pdb8pbh_A_hinge_3_sigma0.8948929172439201.command,0.18434548377990723
pdb6z5n_A_original_pdb6z5n_A_hinge_3_sigma0.8948929172439201.command,0.00721799955
pdb4xvt_G_original_pdb4xvt_G_hinge_1_sigma0.8948929172439201.command,0.0404410027
pdb5tg4_A_original_pdb5tg4_A_hinge_5_sigma0.8948929172439201.command,0.00572999939
pdb5rdl_A_original_pdb5rdl_A_hinge_5_sigma0.8948929172439201.command,0.00719799846
pdb5qpt_A_original_pdb5qpt_A_hinge_4_sigma0.8948929172439201.command,0.014858
pdb6xo3_A_original_pdb6xo3_A_hinge_0_sigma0.8948929172439201.command,0.12907767295837402
pdb4c73_A_original_pdb4c73_A_hinge_1_sigma0.8948929172439201.command,0.0505919978
pdb3rag_A_original_pdb3rag_A_hinge_4_sigma0.8948929172439201.command,0.013336001
pdb6rg7_A_original_pdb6rg7_A_hinge_3_sigma0.8948929172439201.command,0.0202759989
pdb4h39_A_original_pdb4h39_A_hinge_0_sigma0.8948929172439201.command,0.19768261909484863
pdb6l4w_A_original_pdb6l4w_A_hinge_4_sigma0.8948929172439201.command,0.0108959973
pdb4n0h_A_original_pdb4n0h_A_hinge_0_sigma0.8948929172439201.command,0.23489952087402344
pdb3prp_A_original_pdb3prp_A_hinge_0_sigma0.8948929172439201.command,0.14398503303527832
